Time,Setpoint,Speed,Control,Load
26.299,10,10.1275,4.08188,-1.5
26.3,10,10.1275,4.08187,-1.5
26.301,10,10.1274,4.08187,-1.5
26.302,10,10.1274,4.08186,-1.5
26.303,10,10.1274,4.08185,-1.5
26.304,10,10.1274,4.08184,-1.5
26.305,10,10.1274,4.08183,-1.5
26.306,10,10.1274,4.08183,-1.5
26.307,10,10.1274,4.08182,-1.5
26.308,10,10.1274,4.08181,-1.5
26.309,10,10.1274,4.0818,-1.5
26.31,10,10.1273,4.0818,-1.5
26.311,10,10.1273,4.08179,-1.5
26.312,10,10.1273,4.08178,-1.5
26.313,10,10.1273,4.08177,-1.5
26.314,10,10.1273,4.08177,-1.5
26.315,10,10.1273,4.08176,-1.5
26.316,10,10.1273,4.08175,-1.5
26.317,10,10.1273,4.08174,-1.5
26.318,10,10.1272,4.08173,-1.5
26.319,10,10.1272,4.08173,-1.5
26.32,10,10.1272,4.08172,-1.5
26.321,10,10.1272,4.08171,-1.5
26.322,10,10.1272,4.0817,-1.5
26.323,10,10.1272,4.0817,-1.5
26.324,10,10.1272,4.08169,-1.5
26.325,10,10.1272,4.08168,-1.5
26.326,10,10.1271,4.08167,-1.5
26.327,10,10.1271,4.08167,-1.5
26.328,10,10.1271,4.08166,-1.5
26.329,10,10.1271,4.08165,-1.5
26.33,10,10.1271,4.08164,-1.5
26.331,10,10.1271,4.08163,-1.5
26.332,10,10.1271,4.08163,-1.5
26.333,10,10.1271,4.08162,-1.5
26.334,10,10.1271,4.08161,-1.5
26.335,10,10.127,4.0816,-1.5
26.336,10,10.127,4.0816,-1.5
26.337,10,10.127,4.08159,-1.5
26.338,10,10.127,4.08158,-1.5
26.339,10,10.127,4.08157,-1.5
26.34,10,10.127,4.08157,-1.5
26.341,10,10.127,4.08156,-1.5
26.342,10,10.127,4.08155,-1.5
26.343,10,10.1269,4.08154,-1.5
26.344,10,10.1269,4.08154,-1.5
26.345,10,10.1269,4.08153,-1.5
26.346,10,10.1269,4.08152,-1.5
26.347,10,10.1269,4.08151,-1.5
26.348,10,10.1269,4.0815,-1.5
26.349,10,10.1269,4.0815,-1.5
26.35,10,10.1269,4.08149,-1.5
26.351,10,10.1269,4.08148,-1.5
26.352,10,10.1268,4.08147,-1.5
26.353,10,10.1268,4.08147,-1.5
26.354,10,10.1268,4.08146,-1.5
26.355,10,10.1268,4.08145,-1.5
26.356,10,10.1268,4.08144,-1.5
26.357,10,10.1268,4.08144,-1.5
26.358,10,10.1268,4.08143,-1.5
26.359,10,10.1268,4.08142,-1.5
26.36,10,10.1267,4.08141,-1.5
26.361,10,10.1267,4.08141,-1.5
26.362,10,10.1267,4.0814,-1.5
26.363,10,10.1267,4.08139,-1.5
26.364,10,10.1267,4.08138,-1.5
26.365,10,10.1267,4.08137,-1.5
26.366,10,10.1267,4.08137,-1.5
26.367,10,10.1267,4.08136,-1.5
26.368,10,10.1266,4.08135,-1.5
26.369,10,10.1266,4.08134,-1.5
26.37,10,10.1266,4.08134,-1.5
26.371,10,10.1266,4.08133,-1.5
26.372,10,10.1266,4.08132,-1.5
26.373,10,10.1266,4.08131,-1.5
26.374,10,10.1266,4.08131,-1.5
26.375,10,10.1266,4.0813,-1.5
26.376,10,10.1266,4.08129,-1.5
26.377,10,10.1265,4.08128,-1.5
26.378,10,10.1265,4.08128,-1.5
26.379,10,10.1265,4.08127,-1.5
26.38,10,10.1265,4.08126,-1.5
26.381,10,10.1265,4.08125,-1.5
26.382,10,10.1265,4.08124,-1.5
26.383,10,10.1265,4.08124,-1.5
26.384,10,10.1265,4.08123,-1.5
26.385,10,10.1264,4.08122,-1.5
26.386,10,10.1264,4.08121,-1.5
26.387,10,10.1264,4.08121,-1.5
26.388,10,10.1264,4.0812,-1.5
26.389,10,10.1264,4.08119,-1.5
26.39,10,10.1264,4.08118,-1.5
26.391,10,10.1264,4.08118,-1.5
26.392,10,10.1264,4.08117,-1.5
26.393,10,10.1264,4.08116,-1.5
26.394,10,10.1263,4.08115,-1.5
26.395,10,10.1263,4.08115,-1.5
26.396,10,10.1263,4.08114,-1.5
26.397,10,10.1263,4.08113,-1.5
26.398,10,10.1263,4.08112,-1.5
26.399,10,10.1263,4.08112,-1.5
26.4,10,10.1263,4.08111,-1.5
26.401,10,10.1263,4.0811,-1.5
26.402,10,10.1262,4.08109,-1.5
